Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_6	con_0h_7	con_2h_1	con_2h_3	con_2h_4	con_6h_1	con_6h_3	con_6h_4	con_12h_1	con_12h_3	con_12h_4	con_18h_1	con_18h_3	con_18h_4	con_24h_1	con_24h_3	con_24h_4	IKA_0h_5	IKA_0h_6	IKA_0h_7	IKA_2h_1	IKA_2h_3	IKA_2h_4	IKA_6h_1	IKA_6h_3	IKA_6h_4	IKA_12h_1	IKA_12h_3	IKA_12h_4	IKA_18h_1	IKA_18h_3	IKA_18h_4	IKA_24h_1	IKA_24h_3	IKA_24h_4
O88559	O88559	1	1	1	Menin	Men1	13.7807796013664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.6527308512319	NA	NA	NA	NA	NA	17.063578571865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BG79	Q8BG79	1	1	1	CWF19-like protein 2	Cwf19l2	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.191284915893	18.8605471344599	18.8129529159198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6038453373483	NA	NA	NA
Q8BKH7	Q8BKH7	1	1	1	Target of rapamycin complex 2 subunit MAPKAP1	Mapkap1	NA	NA	NA	NA	NA	NA	NA	NA	19.0640888652566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5208019321428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O08664	O08664	1	1	1	B-cell CLL/lymphoma 7 protein family member C	Bcl7c	NA	18.9710305328895	NA	NA	NA	NA	7.21673079239752	6.5750854054672	7.27835570345124	7.47124845207341	9.04316947272129	7.86521261939389	NA	NA	18.6837473982429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O70172;Q80XI4	O70172;Q80XI4	3;2	3;2	3;2	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha;Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Pip4k2a;Pip4k2b	NA	NA	NA	NA	NA	NA	7.1231534844263	6.05042836968107	7.22163396592813	8.50163344492255	7.66291358330025	7.7684208088617	NA	20.0492791268733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQI3	Q9CQI3	4	2	2	Glia maturation factor beta	Gmfb	NA	NA	NA	19.6355108769885	NA	NA	19.2943352707412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6681569300205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQF9	Q9CQF9	1	1	1	Prenylcysteine oxidase	Pcyox1	NA	NA	NA	NA	NA	NA	17.6425850159597	17.9495451862489	16.7177617967902	NA	NA	NA	NA	NA	NA	NA	15.8930696087921	NA	NA	NA	NA	15.1702169290606	15.8550212000297	13.6713696490824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.3477385322925
Q9D211	Q9D211	1	1	1	CDKN2AIP N-terminal-like protein	Cdkn2aipnl	18.1995865120189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8185166813387	17.44741868093	19.9495771631334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9JIP4	Q9JIP4	1	1	1	Pannexin-1	Panx1	NA	NA	NA	NA	NA	NA	17.8756614313908	18.6675147152999	18.8210316823805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.1451415226628	16.3053708172796	17.2725260330031
Q8C2B3	Q8C2B3	2	2	2	Histone deacetylase 7	Hdac7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9204423633543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8108229130524	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q61160	Q61160	1	1	1	Protein FADD	Fadd	NA	NA	NA	NA	NA	NA	18.9515460716522	16.9871660198301	18.4915948702346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.5269313381435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P55194	P55194	2	2	2	SH3 domain-binding protein 1	Sh3bp1	NA	NA	NA	NA	NA	NA	7.00998690026648	6.32381539597472	8.14553785158768	7.90541619717739	7.58460098346108	7.8473738109134	NA	NA	20.2049074340134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9CXY9	Q9CXY9	2	2	2	GPI-anchor transamidase	Pigk	NA	NA	NA	NA	NA	NA	NA	17.3786783842909	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.846911766875	NA	NA	NA	16.2697417300497	17.536759033292	14.3090467713071	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9196590032512	17.9239051209909	18.1042070489929
Q9CZ15	Q9CZ15	1	1	1	DNA replication complex GINS protein PSF1	Gins1	NA	NA	NA	NA	NA	NA	6.60890837537634	7.17638344601488	7.30667821337665	8.3055038529692	7.72772352050732	7.38544086663201	NA	NA	20.8137391512987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99MR3	Q99MR3	1	1	1	Solute carrier family 12 member 9	Slc12a9	6.6921381203609	6.73028874116147	7.60660628598459	7.35572703483685	6.97300434427971	7.37803584056726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.4658291893044	NA	NA	19.6642614650336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8K2H4	Q8K2H4	2	2	2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1	Acap1	6.17517161325301	7.82740638610841	7.20122553833509	7.57285958589544	8.43583039544722	8.30313285402898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.6930512203075	NA	NA	NA	NA	NA	NA	18.6816269778504	NA	NA	NA	NA	NA	NA
Q9D1C1	Q9D1C1	1	1	1	Ubiquitin-conjugating enzyme E2 C	Ube2c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9007379750781	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.4662204494543	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3V3V9	Q3V3V9	1	1	1	Leucine-rich repeat-containing protein 16C	Rltpr	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.1192125057	19.3333581312203	19.3302442878158	NA	NA	18.0549339479234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.6194479449183	NA	NA	NA	NA	NA	NA
P51949	P51949	2	2	2	CDK-activating kinase assembly factor MAT1	Mnat1	NA	NA	NA	NA	NA	NA	7.7815320001476	6.47701922131439	8.1566439799732	7.94501538524641	8.58563371846961	7.05536768192142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BHC4	Q8BHC4	2	2	2	Dephospho-CoA kinase domain-containing protein	Dcakd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3334144575402	16.278819567588	17.2574460782799	NA	NA	NA	NA	18.5355215857749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.3906180745484	17.5450053251631	17.800828501315
Q9QY93	Q9QY93	2	2	2	dCTP pyrophosphatase 1	Dctpp1	NA	NA	NA	NA	NA	NA	6.66288860741771	6.94735409206862	7.46131353992533	8.76674257934652	6.85852437957892	7.26432388727669	NA	20.2557901323959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q91V83	Q91V83	1	1	1	TELO2-interacting protein 1 homolog	Tti1	NA	NA	NA	NA	NA	16.8902494077077	NA	NA	19.5327903263945	NA	NA	NA	NA	NA	NA	NA	NA	16.1769036246481	NA	NA	NA	NA	NA	NA	NA	NA	18.305612375722	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8CEE7	Q8CEE7	1	1	1	Retinol dehydrogenase 13	Rdh13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1162641980009	NA	NA	NA	NA	NA	NA	17.1524937943673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5872804828498	15.828205930695	16.0247751891071
Q8VDQ9	Q8VDQ9	1	1	1	Protein KRI1 homolog	Kri1	NA	NA	NA	NA	NA	NA	5.21669097957276	6.66126308653995	7.73329951966828	8.8502166638681	7.51789854908754	8.12744795669122	18.444609445185	20.7046503518399	20.3218640739575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99MS7	Q99MS7	2	2	2	EH domain-binding protein 1-like protein 1	Ehbp1l1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8487226196158	NA	20.0085200446562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BJ37	Q8BJ37	2	2	2	Tyrosyl-DNA phosphodiesterase 1	Tdp1	19.51094599583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.634433285261	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.30047650302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3UHX0	Q3UHX0	3	3	3	Nucleolar protein 8	Nol8	NA	18.1222850454575	NA	NA	NA	NA	NA	NA	NA	19.7449987329524	NA	NA	19.2149895802889	NA	NA	NA	NA	NA	NA	NA	19.3528681513849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q80YR4	Q80YR4	1	1	1	Zinc finger protein 598	Znf598	15.3273931652171	15.4663166532111	16.4503386832702	NA	NA	NA	NA	NA	NA	18.5413908700527	19.4879835553333	18.3886518411835	NA	NA	NA	NA	NA	NA	NA	17.2068773230343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8VEA4	Q8VEA4	1	1	1	Mitochondrial intermembrane space import and assembly protein 40	Chchd4	NA	NA	NA	20.8084385213494	NA	NA	6.56659603548121	6.75987632531571	7.18316354709046	8.13453326082069	7.60830017067485	8.60847369228418	NA	21.7826032785496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8CB96	Q8CB96	2	1	1	Ras association domain-containing protein 4	Rassf4	18.9355437910231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.0898078136153	NA	NA	NA	16.6242684648411	17.319470319186	19.3208143318273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5XKN4	Q5XKN4	1	1	1	Protein jagunal homolog 1	Jagn1	NA	NA	NA	20.8106183432448	18.2845246847197	19.2735570618283	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.2500696275514	15.695509040903	16.015438786982	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.6241072984759	17.3338997024484	18.2197568109729	NA	19.4557347437605	NA	17.3888292474132	17.2173279352078	18.7250703261042
P97801	P97801	2	2	2	Survival motor neuron protein	Smn1	NA	NA	NA	NA	NA	NA	7.37629507278225	5.84393856490237	7.36714910192887	9.08322491015987	8.40265563573607	8.59865637270048	18.8106816071886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O09044;P60879	O09044;P60879	2;1	2;1	2;1	Synaptosomal-associated protein 23;Synaptosomal-associated protein 25	Snap23;Snap25	NA	NA	NA	NA	NA	NA	7.3488800210668	7.2273839996743	7.80738685341212	7.78070876076118	7.91366635227046	7.22440703980674	20.7222704132049	20.4236238378822	20.0120229645745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9D0Y8	Q9D0Y8	1	1	1	39S ribosomal protein L52, mitochondrial	Mrpl52	NA	NA	NA	NA	18.7910609983752	NA	NA	18.2111517501314	NA	NA	NA	NA	NA	NA	NA	17.338076474795	NA	NA	NA	NA	NA	NA	17.6526963452594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4276206854679	19.0353676120892	17.736942491808
Q6A028	Q6A028	2	2	2	Switch-associated protein 70	Swap70	NA	NA	NA	NA	NA	NA	7.01266644638623	7.18257993572597	7.90483750237862	8.51316480092992	7.80512981622308	7.76240408001414	NA	21.0268628974623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P36371	P36371	2	2	2	Antigen peptide transporter 2	Tap2	5.804855769524	7.24135896646171	6.54596924136365	7.08404546182536	8.28919560671549	7.43642839044512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.7793685118293	NA	NA	NA	NA	NA	NA	NA	NA	18.3654501143405	NA
Q5U3K5	Q5U3K5	2	2	2	Rab-like protein 6	Rabl6	NA	NA	15.5237450096658	NA	NA	NA	NA	NA	NA	NA	NA	17.1629404875376	NA	NA	NA	NA	NA	NA	16.8180818723942	19.2587040892065	22.4272263038618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9JJX7	Q9JJX7	1	1	1	Tyrosyl-DNA phosphodiesterase 2	Tdp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3976189353094	NA	NA	21.0144368259589	NA	NA	NA	NA	NA	20.0072926609716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q91WK1	Q91WK1	1	1	1	SPRY domain-containing protein 4	Spryd4	NA	NA	NA	NA	NA	NA	NA	19.3076849676899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.19544471963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
